"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This test will create a new product","SUCCESS","2020-05-29T15:19:45.683+01:00[Europe/London]","0.0","8.49"
"Product CRUD test","Update the price of product and verify the updated information","SUCCESS","2020-05-29T15:19:54.214+01:00[Europe/London]","0.0","0.36"
"Product CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2020-05-29T15:19:54.573+01:00[Europe/London]","0.0","0.21"
"Stores CRUD test","This test will create a new store","SUCCESS","2020-05-29T15:19:57.028+01:00[Europe/London]","0.0","0.35"
"Stores CRUD test","Update the product name and verify the updated information","SUCCESS","2020-05-29T15:19:57.381+01:00[Europe/London]","0.0","0.39"
"Stores CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2020-05-29T15:19:57.774+01:00[Europe/London]","0.0","1.31"
"Product test","Verify 'Not found' error message with invalid endpoint","SUCCESS","2020-05-29T15:19:59.222+01:00[Europe/London]","0.0","0.23"
"Product test","This test will get a specific product by Id","SUCCESS","2020-05-29T15:19:59.455+01:00[Europe/London]","0.0","0.44"
"Product test","This test will get all products information","SUCCESS","2020-05-29T15:19:59.900+01:00[Europe/London]","0.0","0.32"
"Product test","This test will delete the product by id","SUCCESS","2020-05-29T15:20:00.217+01:00[Europe/London]","0.0","0.94"
"Product test","This test will create a new product","SUCCESS","2020-05-29T15:20:01.162+01:00[Europe/London]","0.0","0.53"
"Product test","This test will update a name of an existing product","SUCCESS","2020-05-29T15:20:01.694+01:00[Europe/London]","0.0","0.56"
"Stores test","Verify 'Not found' error message with invalid endpoint","SUCCESS","2020-05-29T15:20:02.520+01:00[Europe/London]","0.0","0.11"
"Stores test","This test will delete the store using storeId","SUCCESS","2020-05-29T15:20:02.628+01:00[Europe/London]","0.0","0.72"
"Stores test","This test will get all stores","SUCCESS","2020-05-29T15:20:03.346+01:00[Europe/London]","0.0","0.1"
"Stores test","This test will update a name of an existing store","SUCCESS","2020-05-29T15:20:03.446+01:00[Europe/London]","0.0","0.4"
"Stores test","This test will create a new product","SUCCESS","2020-05-29T15:20:03.847+01:00[Europe/London]","0.0","0.27"
"Stores test","This test will get a specific product by Id","SUCCESS","2020-05-29T15:20:04.124+01:00[Europe/London]","0.0","0.14"
